Date,Page Views,Amount Spent,Total Page Likes,Daily Paid Likes,Daily Organic Likes,Paid Post Impressions,Organic Post Impressions,,
7/26/2016,0,$0.00,38,0,0,0,11,,
7/27/2016,0,$0.00,38,0,0,0,5,,
7/28/2016,0,$0.00,38,0,0,0,10,,
7/29/2016,0,$0.00,38,0,0,0,4,,
7/30/2016,0,$0.00,38,0,0,0,0,,
7/31/2016,1,$0.00,38,0,0,0,1,,
8/1/2016,0,$0.00,38,0,0,0,10,,
8/2/2016,0,$0.00,38,0,0,0,10,,
8/3/2016,0,$0.00,38,0,0,0,2,,
8/4/2016,0,$0.00,38,0,0,0,5,,
8/5/2016,1,$0.00,38,0,0,0,1,,
8/6/2016,0,$0.00,38,0,0,0,0,,
8/7/2016,2,$0.00,38,0,0,0,0,,
8/8/2016,0,$0.00,38,0,0,0,10,,
8/9/2016,0,$0.00,38,0,0,0,7,,
8/10/2016,1,$0.00,38,0,0,0,0,,
8/11/2016,0,$0.00,38,0,0,0,10,,
8/12/2016,0,$0.00,38,0,0,0,4,,
8/13/2016,0,$0.00,38,0,0,0,0,,
8/14/2016,2,$0.00,39,0,1,0,0,,
8/15/2016,0,$0.00,39,0,0,0,12,,
8/16/2016,1,$0.00,39,0,0,0,3,,
8/17/2016,2,$0.00,39,0,0,0,0,,
8/18/2016,0,$0.00,39,0,0,0,1,,
8/19/2016,1,$0.00,40,0,1,0,8,,
8/20/2016,2,$0.00,40,0,0,0,1,,
8/21/2016,0,$0.00,40,0,0,0,0,,
8/22/2016,1,$0.00,40,0,0,0,10,,
8/23/2016,1,$0.00,40,0,0,0,3,,
8/24/2016,1,$0.00,40,0,0,0,0,,
8/25/2016,0,$0.00,40,0,0,0,9,,
8/26/2016,0,$0.00,40,0,0,0,0,,
8/27/2016,2,$0.00,40,0,0,0,0,,
8/28/2016,1,$0.00,40,0,0,0,0,,
8/29/2016,2,$0.00,40,0,0,0,0,,
8/30/2016,1,$0.00,40,0,0,0,12,,
8/31/2016,2,$0.00,40,0,0,0,4,,
9/1/2016,0,$0.00,40,0,0,0,0,,
9/2/2016,1,$0.00,40,0,0,0,0,,
9/3/2016,0,$0.00,40,0,0,0,0,,
9/4/2016,0,$0.00,40,0,0,0,0,,
9/5/2016,0,$0.00,40,0,0,0,0,,
9/6/2016,0,$0.00,40,0,0,0,0,,
9/7/2016,0,$0.00,40,0,0,0,9,,
9/8/2016,1,$0.00,40,0,0,0,10,,
9/9/2016,0,$0.00,40,0,0,0,4,,
9/10/2016,0,$0.00,40,0,0,0,1,,
9/11/2016,0,$0.00,40,0,0,0,0,,
9/12/2016,0,$0.00,40,0,0,0,9,,
9/13/2016,0,$0.00,40,0,0,0,3,,
9/14/2016,0,$0.00,40,0,0,0,7,,
9/15/2016,1,$0.00,40,0,0,0,3,,
9/16/2016,0,$0.00,40,0,0,0,6,,
9/17/2016,0,$0.00,40,0,0,0,2,,
9/18/2016,0,$0.00,40,0,0,0,0,,
9/19/2016,0,$0.00,40,0,0,0,9,,
9/20/2016,14,$0.00,40,0,0,0,22,,
9/21/2016,11,$0.00,41,0,1,0,20,,
9/22/2016,1,$0.00,41,0,0,0,19,,
9/23/2016,0,$0.00,41,0,0,0,27,,
9/24/2016,0,$0.00,41,0,0,0,24,,
9/25/2016,0,$0.00,41,0,0,0,4,,
9/26/2016,1,$0.00,41,0,0,0,9,,
9/27/2016,0,$0.00,41,0,0,0,18,,
9/28/2016,2,$0.00,41,0,0,0,21,,
9/29/2016,0,$0.00,41,0,0,0,27,,
9/30/2016,0,$0.00,41,0,0,0,20,,
10/1/2016,0,$0.00,41,0,0,0,23,,
10/2/2016,0,$0.00,41,0,0,0,8,,
10/3/2016,0,$0.00,41,0,0,0,11,,
10/4/2016,0,$0.00,41,0,0,0,9,,
10/5/2016,0,$0.00,41,0,0,0,7,,
10/6/2016,0,$0.00,41,0,0,0,24,,
10/7/2016,0,$0.00,41,0,0,0,15,,
10/8/2016,0,$0.00,41,0,0,0,7,,
10/9/2016,0,$0.00,41,0,0,0,5,,
10/10/2016,2,$0.00,41,0,0,0,3,,
10/11/2016,1,$0.00,41,0,0,0,9,,
10/12/2016,0,$0.00,41,0,0,0,5,,
10/13/2016,3,$0.00,42,0,1,0,6,,
10/14/2016,0,$0.00,42,0,0,0,5,,
10/15/2016,0,$0.00,42,0,0,0,0,,
10/16/2016,0,$0.00,42,0,0,0,0,,
10/17/2016,1,$0.00,42,0,0,0,9,,
10/18/2016,1,$0.00,42,0,0,0,1,,
10/19/2016,1,$0.00,42,0,0,0,7,,
10/20/2016,1,$0.00,42,0,0,0,2,,
10/21/2016,0,$0.00,42,0,0,0,8,,
10/22/2016,0,$0.00,42,0,0,0,1,,
10/23/2016,2,$0.00,42,0,0,0,0,,
10/24/2016,3,$0.00,42,0,0,0,9,,
10/25/2016,4,$0.00,42,0,0,0,24,,
10/26/2016,3,$0.00,43,0,1,0,30,,
10/27/2016,2,$0.00,43,0,0,0,19,,
10/28/2016,3,$0.00,43,0,0,0,16,,
10/29/2016,0,$0.00,43,0,0,0,0,,
10/30/2016,0,$0.00,43,0,0,0,0,,
10/31/2016,0,$0.00,43,0,0,0,10,,
11/1/2016,2,$0.00,43,0,0,0,12,,
11/2/2016,3,$0.00,43,0,0,0,15,,
11/3/2016,1,$0.00,43,0,0,0,14,,
11/4/2016,0,$0.00,43,0,0,0,7,,
11/5/2016,0,$0.00,43,0,0,0,0,,
11/6/2016,0,$0.00,43,0,0,0,1,,
11/7/2016,3,$0.00,43,0,0,0,9,,
11/8/2016,0,$0.00,43,0,0,0,12,,
11/9/2016,0,$0.00,43,0,0,0,3,,
11/10/2016,1,$0.00,43,0,0,0,7,,
11/11/2016,0,$0.00,43,0,0,0,5,,
11/12/2016,1,$0.00,43,0,0,0,0,,
11/13/2016,0,$0.00,43,0,0,0,0,,
11/14/2016,2,$0.00,43,0,0,0,11,,
11/15/2016,0,$0.00,43,0,0,0,2,,
11/16/2016,3,$0.00,43,0,0,0,8,,
11/17/2016,0,$0.00,43,0,0,0,18,,
11/18/2016,0,$0.00,43,0,0,0,3,,
11/19/2016,0,$0.00,43,0,0,0,0,,
11/20/2016,1,$0.00,43,0,0,0,0,,
11/21/2016,0,$0.00,44,0,1,0,14,,
11/22/2016,0,$0.00,44,0,0,0,12,,
11/23/2016,0,$0.00,44,0,0,0,5,,
11/24/2016,2,$0.00,44,0,0,0,4,,
11/25/2016,0,$0.00,44,0,0,0,3,,
11/26/2016,0,$0.00,44,0,0,0,0,,
11/27/2016,1,$0.00,44,0,0,0,0,,
11/28/2016,1,$0.00,44,0,0,0,11,,
11/29/2016,1,$0.00,44,0,0,0,13,,
11/30/2016,0,$0.00,44,0,0,0,5,,
12/1/2016,1,$0.00,44,0,0,0,14,,
12/2/2016,1,$0.00,44,0,0,0,19,,
12/3/2016,1,$0.00,45,0,1,0,18,,
12/4/2016,1,$0.00,45,0,0,0,4,,
12/5/2016,1,$0.00,45,0,0,0,16,,
12/6/2016,4,$0.00,45,0,0,0,17,,
12/7/2016,0,$0.00,45,0,0,0,19,,
12/8/2016,0,$0.00,45,0,0,0,14,,
12/9/2016,2,$0.00,45,0,0,0,11,,
12/10/2016,0,$0.00,45,0,0,0,3,,
12/11/2016,0,$0.00,45,0,0,0,0,,
12/12/2016,0,$0.00,45,0,0,0,12,,
12/13/2016,4,$0.00,45,0,0,0,19,,
12/14/2016,5,$0.00,46,0,1,0,20,,
12/15/2016,1,$0.00,46,0,0,0,22,,
12/16/2016,0,$0.00,46,0,0,0,14,,
12/17/2016,0,$0.00,46,0,0,0,18,,
12/18/2016,3,$0.00,46,0,0,0,25,,
12/19/2016,0,$0.00,46,0,0,0,18,,
